537;4,44;456;4,81;637;6,52;2165;14,24;2175;13,03;782;6,67;527;4,92;629;5,44;747;5,08;797;6,94;579;4,59
241149
2;12980;8,48
779;4,65;737;7,29;809;6,86;911;6,23;1069;7,19;2141;11,21;628;7,13;1130;8,01;1318;10,89;2610;12,37;848;8,67
1;9425;6,54
1157;10,20;315;3,41;273;3,23;324;2,74;646;3,75;669;4,45;1095;14,15;661;5,34;1250;6,88;760;4,40;2275;14,80
1;11261;6,86
1937;10,39;1089;7,06;1513;7,67;762;6,10;651;5,20;1192;7,12;747;5,19;427;4,17;693;5,17;717;5,60;1533;8,67
1;11357;7,45
550;6,15;1845;17,91;928;7,73;709;7,09;1109;6,50;358;3,49;730;5,20;1182;6,59;705;4,63;1963;10,32;1278;7,27
1;11026;7,33
799;6,57;1198;5,79;577;3,93;1399;10,64;2016;14,30;1158;11,47;456;4,17;784;6,45;707;5,30;922;6,19;1010;7,10
1;9891;6,50
974;6,65;1694;9,61;1718;9,29;1055;8,70;504;3,73;919;5,82;516;4,36;859;8,26;671;5,26;501;3,41;480;4,71
0;7104;5,07
1757;9,92;792;4,48;752;5,45;391;4,51;764;4,61;711;4,77;448;3,85;337;3,82;399;3,84;456;4,05;297;3,44
1;8750;6,43
1361;11,24;651;6,87;471;4,82;678;4,46;872;5,22;798;6,80;811;7,56;585;5,06;935;6,36;689;6,00;899;7,12
241155
0;4862;3,17
670;4,00;356;3,52;340;2,88;726;4,97;829;5,58;481;2,52;216;2,45;348;2,47;228;1,88;490;2,32;178;1,82
0;4221;2,93
167;1,47;285;3,08;321;3,80;422;3,57;647;3,75;853;5,68;186;2,40;392;3,17;315;1,73;416;2,41;217;1,41
0;5370;3,27
429;2,30;439;2,85;565;2,86;442;3,54;528;4,22;467;2,79;547;3,80;369;3,60;542;4,04;472;3,69;570;3,22
0;4435;2,91
281;3,14;177;1,72;238;1,98;151;1,51;480;2,81;429;4,18;489;3,48;631;3,52;542;3,56;465;2,45;552;3,14
0;3433;2,28
247;2,03;438;2,12;408;2,78;377;2,87;324;2,30;145;1,44;321;2,94;378;3,11;266;1,99;302;2,03;227;1,60
0;3290;2,16
243;1,66;316;1,79;514;2,78;221;1,82;271;2,00;255;1,61;249;2,10;210;2,02;276;2,17;455;3,10;280;2,75
0;3232;2,31
292;1,65;301;1,70;169;1,22;198;2,29;359;2,17;344;2,31;289;2,48;325;3,68;306;2,94;382;3,39;267;3,09
0;2274;1,67
164;1,35;77;0,81;169;1,73;322;2,12;323;1,93;213;1,82;132;1,23;253;2,19;220;1,50;225;1,96;176;1,39
241142
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;0;0,00
0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00
0;168;0,12
